wallet_address,reward_morbius,balance_morbius
0xe613c928364992dc69e3d2c5c665262089504e92,6576.854834904521716815,7959097.939794497674691362
0x7dec4c25c667f6d76015a9aa51c132b0c187c3c3,6452.301331354424508176,7808367.30054751529118352
0xfca719b2f234fce1760895b2ecb5fb2284bcb227,5278.108786508633069652,6387397.29296791683795468
0xdb94e395b5523b8551d927a1cc1c4d8eb7962988,5263.142148770005894878,6369285.149917569666556019
0x9f7f78ee5ca4f4efb5a30c05b82f21cc48aabef7,4756.120832637183586284,5755704.279735078495401897
0x7e8dffd5cfd17aba4f05da312455b854e5648e3b,4751.407205535527135252,5750000.000000234993493059
0x93631f5aed49014a11652e1f94ee724357d62118,4318.031804912947925549,5225543.04529494545481728
0x4fbddd86cbf8303d1f7e43955f49fb47f2c4ca94,4237.812369268301164497,5128464.067425114721127672
0xaff6efd928f8099d1be8e0a003a238315cd0d0b9,4161.076571178623916585,5035600.87554763987758969
0xd411eecab6ae2aceade47fe97a844a0c03167cfb,4133.72586054813469398,5002501.926263289059308634
0xb3d08a184e4bff273f2ac451a2871a37cb3e70d0,4131.658439596080847596,5000000.000000168394378687
0x0026b10e6fd0947425549319bea6261d7edb61bb,4131.658439595941697985,5000000.0
0x7d6ec015351b6d7ec055082188a83a0d4b8094fe,3356.228355097740187748,4061599.481376738375462566
0x3830520e6835d6375afa327453e20182aed01626,3352.764966483155706425,4057408.2
0xa37822ab0f6a59b55ecfbbfbce524864ef2ebd74,3328.875626488926300417,4028498.09
0x00b0fae5d46ea1ce8196d945035c1a2fd47fae67,3100.317301645413240125,3751904.165084627427937059
0xfed368f32cec0b599a7acff36bcee4762116e303,2818.476675390987678347,3410829.714746002202141967
0x96fe07261bf8028f4c29693974ba4c17626f31df,2806.541372857653370664,3396385.995949027386647171
0xe21f8fdedf2c7326fe263bd043984fd849f76fb1,2657.634988603861161384,3216184.284661931485301575
0xa88b2e4cc467f0e4c1990748ff0ad667c4daa4f5,2656.722734267436280078,3215080.303839506464334363
0x10c73891ee9b729afa408e2c4858745eb309606c,2478.995063759858298409,3000000.000002775253147964
0x392491eb464c97ee8f9b9daac313b6b88f4efadd,2448.578839102298699302,2963191.264355529719763574
0x1184fa9a6f73a5789c0f0d0618c31e0fe7ef459b,2185.148130642571305322,2644395.903713993029231125
0x064da67680c6def174581a9c464d08d5175b59fd,2172.650639589755785127,2629271.842473783491610171
0x06c8e296cc63b15b17878b673a9d58e71ea7508b,2169.939408640914490025,2625990.798083886584077856
0xda8681ace25181131c48b4705586bcf0c3b7a3d9,2093.621324482803847258,2533633.110155580703982445
0xdfe130e8796220ae800c7673367f0a7aaf86dbfb,2012.230186733091416036,2435136.176128197583699932
0xf924bf992ad84edb67be81ad06f319b0229703cc,1968.092340576641342248,2381721.975993146531428775
0x8f6dc8fd8a5115fdec3ccbe36be6cf9b28635f2e,1950.701672926408624482,2360676.350000000000000001
0xf9fa3278b32d7f06f5875ebc29c47b9f69803b9f,1947.442326422011021938,2356731.993814646555686355
0x8efad1da5e5a29706e228bc3b3498cc1e6fcbd4a,1925.3532059754835645,2330000.45154237721757235
0x6c35b851b6b3db8fbb166f6a8f7564a8cbbcdc2f,1856.925141391434471004,2247191.011235955056179776
